x,y,label
2024-01-26 13:14:54,-11.322,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 13:35:18,-6.409,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:28,-150.243,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:30,-132.108,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:31,-383.168,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:32,-458.214,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:34,-915.116,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:35,-997.361,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:36,-1080.246,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:37,-1160.911,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:38,-1243.173,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:40,-1410.625,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:41,-1492.787,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:42,-1579.894,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:44,-1747.094,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:46,-1919.408,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:48,-2091.318,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:50,-2265.516,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:51,-2351.059,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:52,-2438.94,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:54,-2615.813,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:56,-2799.853,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:57,-2891.115,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:56:59,-2995.718,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:58:14,-3008.217,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:58:44,-3004.096,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:58:59,-2995.146,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:59:14,-3013.449,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
2024-01-26 14:59:29,-3006.804,EM #18 - Total values - Total active power - (s-c8f09e82f7c8/4-3)
