x,y,label
2024-01-26 13:14:04,5.8,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 13:19:05,5.7,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 16:02:23,5.6,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 16:07:24,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 16:12:24,5.3,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 16:22:26,4.9,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 16:32:28,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 16:37:28,5.3,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 16:47:29,4.8,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 17:17:48,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 17:22:48,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 17:27:48,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 17:47:56,5.3,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 17:52:56,5.5,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 17:57:57,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 18:18:10,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 19:29:22,5.5,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 22:14:04,5.1,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 22:49:26,5.3,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 22:54:26,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 22:59:27,5.5,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 23:04:27,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 23:09:27,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 23:14:28,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-26 23:19:28,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 01:11:59,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 01:17:00,5.8,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 01:22:00,5.3,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 01:27:00,6.0,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 01:37:02,6.0,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 01:42:03,5.1,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 01:57:09,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 02:02:09,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 02:12:10,5.5,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 02:17:10,5.1,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 02:22:11,5.4,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 04:35:03,5.9,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 04:55:10,5.1,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 05:20:21,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 05:30:29,5.2,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
2024-01-27 05:35:29,5.0,EM #14 - L1 (A) values - L1 active power - (s-c8f09e87a210/1-3)
