x,y,label
2024-01-26 13:22:09,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 16:00:28,20.153,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 16:10:44,20.221,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 16:20:45,20.439,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 16:30:46,19.985,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 16:35:47,20.137,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 17:16:21,20.002,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 17:21:21,19.918,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 17:26:22,19.884,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 17:46:32,19.867,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 17:51:32,20.372,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 18:17:00,20.17,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 22:07:50,20.204,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 22:12:51,20.053,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 22:33:07,20.305,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 22:48:13,20.053,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 22:53:13,20.002,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 22:58:13,20.238,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 23:03:14,20.103,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 23:08:14,20.12,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-26 23:13:14,20.204,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 01:11:18,20.389,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 01:16:18,20.423,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 01:21:19,20.389,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 01:26:19,20.557,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 01:36:20,20.221,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 01:41:20,20.406,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 02:01:42,20.086,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 02:11:43,20.355,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 02:27:13,20.49,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 04:55:50,20.137,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 05:21:04,20.103,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 05:31:19,20.389,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 05:36:19,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 05:41:20,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 05:46:20,20.423,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 05:51:20,20.271,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 06:01:35,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 06:06:36,20.103,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 06:22:05,20.153,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 06:27:05,20.069,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 06:57:20,20.389,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 07:27:42,20.725,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 07:32:42,20.625,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 07:47:58,20.54,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 08:13:11,19.952,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 08:23:12,19.935,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 08:28:12,19.75,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 08:38:13,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:14:06,19.783,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:19:06,20.238,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:24:06,20.019,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:29:07,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:34:07,20.069,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:39:07,20.254,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:44:07,20.238,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:49:08,20.103,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:54:08,20.271,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 09:59:08,20.473,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 10:24:20,20.625,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 10:29:20,20.339,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 11:34:44,20.759,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 11:39:44,20.507,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 12:15:37,20.591,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 12:51:09,20.625,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 13:11:21,20.355,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 14:01:48,20.591,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 15:07:48,20.086,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 15:12:48,20.625,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 15:53:20,20.002,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 16:03:36,20.153,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 16:28:51,20.507,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 21:28:49,20.86,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 22:25:13,20.776,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 23:05:36,20.557,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-27 23:10:36,20.305,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 00:06:23,20.591,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 00:11:23,20.641,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 02:51:43,20.355,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 02:56:43,20.81,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 03:17:04,20.322,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 04:29:06,20.574,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 04:34:06,20.439,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 04:39:07,20.843,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 04:44:07,20.54,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 04:54:09,20.574,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 04:59:10,20.725,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:04:10,20.608,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:09:10,20.81,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:14:11,20.759,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:19:11,20.439,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:24:12,20.725,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:29:12,20.54,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:34:12,20.557,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:39:12,20.507,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:49:14,20.271,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:54:14,20.692,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 05:59:15,20.557,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 06:04:15,20.322,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 09:39:04,20.793,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 09:49:20,20.389,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
2024-01-28 09:54:20,20.725,EM #3 - Total values - Total apparent power - (s-c8f09e87eb60/4-4)
