x,y,label
2024-01-26 12:55:02,11012123.9,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 12:56:01,11012194.78,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 12:57:01,11012265.29,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 12:58:01,11012335.79,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 12:59:01,11012406.34,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:00:01,11012476.97,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:01:01,11012550.73,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:02:01,11012624.05,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:03:01,11012697.61,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:04:01,11012771.3,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:05:01,11012844.93,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:06:01,11012917.76,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:07:01,11012990.1,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:08:01,11013063.24,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:09:01,11013136.89,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:10:01,11013210.31,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:11:01,11013283.92,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:12:02,11013357.29,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:13:01,11013430.71,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:14:01,11013504.4,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:15:01,11013577.52,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:16:02,11013650.99,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:18:02,11013798.19,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:19:02,11013871.55,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:20:02,11013943.6,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:21:01,11014017.11,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:22:02,11014090.68,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:23:01,11014163.76,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:24:01,11014237.33,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:25:02,11014310.9,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:26:02,11014384.1,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:27:01,11014457.3,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:28:01,11014530.51,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:29:01,11014603.91,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:30:01,11014677.02,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:31:01,11014750.59,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:32:01,11014824.11,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:33:01,11014897.49,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:34:01,11014970.64,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:35:01,11015043.4,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:36:01,11015116.05,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:37:01,11015188.77,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:38:01,11015261.35,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:39:01,11015333.61,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:40:01,11015406.05,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:41:01,11015478.35,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:42:01,11015550.18,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:43:01,11015621.86,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:44:01,11015694.11,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:45:02,11015766.46,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:46:02,11015838.08,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:47:02,11015909.98,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:48:02,11015980.95,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:49:02,11016051.67,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:50:02,11016122.44,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:51:02,11016193.0,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:52:02,11016263.99,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:53:02,11016334.23,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:54:02,11016404.92,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:55:02,11016475.79,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:56:02,11016546.49,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:57:02,11016616.72,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:58:01,11016687.38,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 13:59:01,11016757.99,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:00:01,11016828.73,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:01:02,11016899.43,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:02:01,11016970.05,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:03:01,11017040.55,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:04:01,11017111.46,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:05:02,11017183.28,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:06:02,11017253.73,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:07:02,11017324.04,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:08:02,11017395.86,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:09:02,11017467.06,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:10:02,11017537.79,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:11:02,11017608.79,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:12:02,11017679.49,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:13:02,11017750.05,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:14:03,11017821.55,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
2024-01-26 14:15:02,11017892.18,EM #2 - Total values - Total active energy - (s-c8f09e886acc/4-5)
