x,y,label
2024-01-26 13:13:58,-1.026,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 15:01:10,3.163,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 15:41:48,3.398,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 16:07:25,1.026,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 16:27:56,3.533,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 17:54:41,2.893,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 18:40:17,1.026,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 22:05:11,3.852,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 22:30:40,1.077,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 22:55:49,3.482,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 23:11:04,3.415,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-26 23:16:04,3.516,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 01:09:02,3.499,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 01:24:18,3.6,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 01:44:45,0.067,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 01:54:49,3.735,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 01:59:49,3.348,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 02:09:50,3.432,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 04:53:40,3.415,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 05:49:58,5.551,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 06:00:00,4.054,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 06:05:00,3.852,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 06:10:00,3.264,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 07:31:39,3.381,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 07:41:40,3.566,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 08:27:26,3.381,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 08:37:28,3.55,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 08:42:28,3.634,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 08:47:28,2.877,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 09:44:08,3.583,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 09:49:08,3.751,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 09:54:08,3.583,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 09:59:09,3.869,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 10:55:14,3.213,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 12:16:51,3.365,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 12:52:35,0.151,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 13:12:44,3.482,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 13:22:50,3.768,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 13:27:50,4.037,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 16:46:47,3.499,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 21:27:43,3.398,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 22:23:54,3.196,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-27 23:50:56,3.129,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 01:07:14,3.819,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 02:23:24,3.6,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 04:16:01,3.23,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 04:21:01,3.852,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 04:26:01,3.045,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 04:36:12,3.533,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 05:28:03,4.004,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 05:33:04,3.836,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 05:38:04,3.651,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 05:48:09,3.852,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 05:53:10,3.482,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 05:58:10,6.123,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 10:20:20,3.365,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 10:25:20,2.978,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 10:45:51,1.026,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 12:38:15,2.809,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 13:28:45,4.037,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
2024-01-28 16:22:04,3.836,EM #10 - Total values - Total active power - (s-c8f09e896764/4-3)
