x,y,label
2024-01-26 12:55:02,145.66,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 12:56:01,145.67,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 12:57:01,145.67,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 12:58:01,145.67,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 12:59:01,145.67,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:00:01,145.67,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:01:01,145.67,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:02:01,145.68,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:03:01,145.68,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:04:01,145.68,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:05:01,145.68,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:06:01,145.68,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:07:01,145.68,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:08:01,145.69,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:09:01,145.69,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:10:01,145.69,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:11:01,145.69,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:12:02,145.69,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:13:01,145.69,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:14:01,145.7,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:15:02,145.7,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:16:02,145.7,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
2024-01-26 13:17:02,145.7,EM #15 - L1 (A) values - L1 total active energy - (s-ec6260977414/1-7)
